V 1468
n -0.0550 -1.8530
n 1.7150 -0.8560
n 0.1020 -0.1220
n -1.5580 -0.4550
n 0.7070 -3.3220
n 1.9140 -2.3590
n -1.9690 -2.7540
n 3.2520 -2.9850
n 2.1310 -4.3160
n 4.8070 -2.6820
n 3.3490 -4.9710
n 5.9560 -3.3980
n 5.1000 -4.7350
n 3.7580 -1.0840
n 6.9460 -1.7960
n 2.1630 0.5260
n 0.7560 1.2340
n 4.8680 0.1270
n 6.1130 -0.2200
n -1.0370 -3.7530
n 6.6580 -5.6680
n 7.5200 -3.7920
n -3.0160 -1.2850
n -3.1390 0.3240
n -4.0580 -0.4730
n -0.4830 -4.8180
n 9.1280 -4.6990
n 8.0280 -5.6910
n -5.7850 -1.3620
n -4.0010 -2.6330
n 3.5530 0.9280
n 4.6490 2.0880
n 6.4460 1.5800
n 2.2410 2.0560
n -5.4600 -3.1460
n 9.7330 -3.3670
n 8.8500 -2.2820
n 11.1010 -2.9310
n 11.0540 -1.2510
n 10.1020 -6.6680
n 11.0150 -5.0480
n 4.7830 -6.3190
n -5.4270 0.4620
n -0.3360 3.1930
n -1.8720 1.7250
n -0.5530 1.0070
n 11.7040 -6.6360
n 1.6990 4.2810
n 1.1920 3.0660
n 2.9600 3.1100
n 8.7050 -7.2120
n -5.6940 2.1010
n -3.6480 1.3600
n -4.3490 2.7360
n 12.8710 -5.4450
n 13.3940 -3.7050
n -6.8140 0.3100
n -8.0060 -0.9540
n 13.4620 -2.2050
n -7.8290 1.6120
n 1.1290 -5.7170
n -2.7820 -5.2870
n -0.6600 -6.3670
n 12.3230 -7.8170
n 10.8010 -9.0050
n 0.2640 4.4150
n 4.0460 3.6780
n 3.6050 5.0930
n -7.2410 -3.2870
n -7.8150 -4.4460
n -6.0000 -4.9140
n 14.5320 -4.7960
n -2.8300 3.6310
n 13.7510 -7.4140
n 15.1590 -5.8600
n 5.3900 4.5210
n 4.7890 5.9380
n 1.8790 -7.2550
n -0.3390 6.0000
n -1.8560 4.9230
n 15.3260 -2.6580
n 2.2270 6.1450
n 15.5050 -0.0360
n 16.7960 -2.2180
n 15.8880 -4.6590
n -2.4580 -7.4150
n -0.8090 -7.6730
n 6.1660 3.4380
n -7.2600 -2.0500
n -1.6860 3.2420
n -2.4400 -8.8170
n -0.3440 -9.0030
n 8.3720 -0.6760
n 13.5520 -0.1710
n -9.6430 -2.8940
n -3.5020 5.1130
n 4.1210 -7.4890
n -9.9740 -0.1360
n 3.6960 7.0380
n 5.3880 -8.2150
n 16.5580 -6.4590
n 17.5410 -7.2760
n 18.7030 -6.3290
n 18.1460 -4.8850
n -3.8600 7.2090
n -1.5680 7.2180
n -1.9840 -10.0300
n -4.8120 -5.6170
n -4.8930 -6.8440
n -4.3290 -8.0940
n -3.9250 -4.3290
n 8.3330 2.4880
n 7.2960 3.2210
n 8.6810 4.1810
n 7.5600 5.5320
n 6.0930 6.0780
n 6.3830 7.6300
n 7.9670 7.5170
n -6.5780 -6.8620
n -6.6780 -8.8240
n 7.9400 0.6250
n -5.9490 4.8060
n -4.7540 4.3810
n 5.5920 8.7430
n -4.0420 -9.3380
n 3.6430 -8.7270
n 4.7140 -9.7360
n 2.5550 -10.4090
n 3.6300 -10.9820
n -6.3350 8.4920
n -6.6320 6.7030
n 9.0510 6.2620
n 10.2800 1.9880
n 9.8440 3.5560
n 6.2690 -9.8740
n 17.0950 -3.9530
n 6.8440 -7.7750
n -9.3780 -5.9770
n -7.6490 -5.7580
n 2.0740 7.8300
n 0.8060 7.3890
n 9.7080 7.7360
n 10.3460 6.3840
n 4.1480 8.7740
n -2.9520 -11.1590
n 9.8770 5.0570
n 6.0240 -11.9170
n 8.1850 -11.2550
n 8.2230 -9.9590
n 20.0240 -7.7480
n 21.3830 -5.9980
n 9.4330 9.1220
n 8.0680 8.8120
n 7.1670 -13.6960
n 8.0300 -12.4670
n 8.6340 10.3650
n 7.5260 9.9510
n -8.7020 2.3660
n -10.6680 2.9690
n -10.5210 1.1880
n 13.0090 -9.4400
n 7.9680 -8.7230
n 9.7640 0.3480
n -8.2700 7.3940
n 0.2740 9.1380
n 2.0840 9.9170
n -8.9630 4.9840
n 1.1160 -9.9800
n -0.4150 -11.0010
n 11.3690 2.9030
n 11.1510 4.1540
n -0.8850 9.6310
n -2.0300 9.0280
n 12.8270 2.3350
n 13.2680 4.1780
n -12.7190 2.8810
n -11.8550 1.2310
n 18.0550 -8.5770
n 19.2730 -9.7270
n 20.8920 -9.2820
n 11.2380 8.1800
n 10.6180 10.0280
n -5.8270 -10.4800
n -4.8580 -11.5340
n 15.1560 -8.1490
n 14.0620 -10.3750
n 16.2950 -9.5510
n -4.3410 9.1150
n -1.4110 10.8980
n -2.8680 10.4340
n 0.9700 -11.8940
n -8.0260 -7.6400
n 3.4420 -12.3390
n 1.7750 -13.3460
n -3.9280 11.3600
n -1.6090 12.2920
n -2.7610 12.6910
n -7.1950 3.5680
n 9.3800 11.7490
n 4.5070 -13.4550
n 19.0350 -3.0800
n 20.6680 -4.4500
n 6.6930 -15.2730
n 14.6490 2.1790
n 15.1030 4.0300
n -10.4760 -4.5050
n -12.4700 -4.3950
n -11.6330 -6.3610
n 0.7990 11.6380
n -0.2800 13.6540
n 12.0630 6.1300
n 12.2540 1.2440
n -1.0240 -12.9510
n -10.1670 -8.4460
n 7.9480 12.0030
n 6.8360 11.5950
n -5.4930 10.4490
n 16.6640 0.9820
n 15.9660 2.4150
n -12.8320 0.1090
n -11.2680 -0.5860
n -8.1610 -10.0500
n 9.2310 -14.1320
n 12.9380 8.7210
n 12.2570 10.1070
n 17.3060 3.5570
n 8.3020 13.7490
n -7.2250 -12.0250
n -5.6520 -12.8810
n -2.0710 14.3630
n 15.4420 5.8610
n 14.1250 5.8300
n 13.3980 7.0860
n 15.4440 7.3610
n -14.0460 2.2820
n 17.5010 5.4500
n -0.1840 -14.1980
n -2.4550 -13.8810
n -2.0610 -15.5560
n -12.8890 -7.2940
n -11.7900 -8.5260
n 2.6580 -14.7000
n 3.7970 -15.0630
n 17.7270 -0.3230
n -3.5650 -12.4150
n -4.0200 -14.3980
n 1.2210 -16.4100
n -7.1310 -14.0630
n 19.3960 1.2020
n 18.0380 2.2790
n -14.0950 -5.9110
n 10.8570 -12.8670
n 10.0300 -11.5340
n -6.8610 11.4620
n -8.4560 9.5370
n 18.8280 -1.4030
n 19.7640 -0.5170
n 12.4880 -11.2880
n -4.2250 14.0100
n -5.3570 12.5570
n -9.5820 11.0580
n -8.1240 12.1940
n 11.0520 12.0860
n 11.9230 13.7970
n 9.8680 14.5580
n 19.1980 4.0010
n 20.0730 2.4330
n 13.1430 11.3210
n 13.3920 12.4910
n -13.0230 -1.2340
n -11.9200 -2.1250
n -11.1020 9.7720
n -14.9410 1.5400
n -15.6310 -0.4530
n -5.9550 -15.8070
n 14.6050 9.2040
n -14.1430 -1.9090
n -11.7080 12.6030
n -10.2790 12.2870
n -8.8450 -13.2990
n -9.5620 -14.5410
n -8.0740 -15.1310
n -14.6070 -8.1820
n -12.9280 -9.6060
n -14.7590 -3.7640
n 20.6850 -2.1700
n 21.2040 -0.7010
n 15.3640 10.8540
n -16.0980 -2.1770
n 3.6430 -16.8440
n 4.8600 -17.5580
n 6.1890 -17.2060
n 21.4600 1.1880
n -9.7400 -11.8060
n -0.5750 -16.3590
n 5.7210 11.1290
n -11.3740 5.8270
n 3.9610 11.0880
n 21.7060 -3.0270
n 6.1860 12.6450
n 4.2160 12.9060
n 15.5200 -11.7610
n -13.0630 12.0050
n -13.4900 10.0350
n -3.1110 15.2420
n 15.7590 13.0210
n 3.0430 12.2300
n -4.1110 -16.5440
n -2.4470 -17.6560
n -7.7810 -16.7850
n 17.3630 7.8810
n 17.6130 9.7090
n -17.4230 -2.7100
n -16.6090 -4.9860
n 23.2160 -5.5370
n 22.9190 -4.1510
n -5.7610 -17.8760
n -8.1210 -17.9330
n -13.2760 13.7570
n 13.4080 15.2040
n 16.0500 14.8610
n 18.3220 6.6750
n 20.7290 5.1670
n -9.5330 7.3370
